"scrip_code","member_code","client_id"
"555835","112","N146"
"555835","112","S8K200"
"555835","202","W4EEPKAND"
"555835","212","491075"
"555835","271","10101"
"555835","271","10P053"
"555835","271","10S074"
"555835","298","W4D131"
"555835","3037","L16WN"
"555835","3052","X3SS14"
"555835","3056","L16WN"
"555835","316","893K05"
"555835","336","302000004"
"555835","365","8VM21"
"555835","379","98767"
"555835","42","0L019"
"555835","42","2H001"
"555835","53","T7NP7B04"
"555835","635","H20124"
"555835","635","K175075"
"555835","748","K17034"
"555835","760","L16WN"
"555835","802","I19ST"
"555835","802","S8ON06"
