"scrip_code","member_code","client_id"
"556155","120","E23003 2"
"556155","120","L16WN"
"556155","138","L16WN"
"556155","138","Z111000"
"556155","164","60B031"
"556155","167","L16WN"
"556155","187","S8O1411"
"556155","192","Z1093"
"556155","212","606644"
"556155","254","L16WN"
"556155","258","J18RJK09"
"556155","26","36416"
"556155","26","L16WN"
"556155","271","851A09"
"556155","276","Y2264PP"
"556155","298","N141"
"556155","3036","H20S9"
"556155","3056","L16WN"
"556155","306","9530013942"
"556155","306","9870013611"
"556155","3068","H201839"
"556155","3088","H20309"
"556155","309","42171"
"556155","3125","890001"
"556155","314","330121"
"556155","314","46KJ01"
"556155","3207","L16WN"
"556155","330","25003"
"556155","330","63A012"
"556155","335","W4121"
"556155","366","L16WN"
"556155","384","0000"
"556155","469","E23ACK10"
"556155","469","H20P1012"
"556155","469","J18BJ012"
"556155","469","J18D0007"
"556155","469","Q10DZSG07"
"556155","469","Y2AM098"
"556155","469","Y2B127"
"556155","493","H20QS08"
"556155","493","V5W8002"
"556155","518","861474"
"556155","518","86978"
"556155","521","O131476"
"556155","538","L16WN"
"556155","542","8SC6"
"556155","572","L16WN"
"556155","575","I19R01"
"556155","587","L16WN"
"556155","59","H20TS12"
"556155","59","P11005"
"556155","615","I19100"
"556155","635","H2026687"
"556155","635","H205952"
"556155","635","K175920"
"556155","635","U6142"
"556155","635","W4X09"
"556155","635","Y26996"
"556155","635","Z113305"
"556155","659","H20O0PM1"
"556155","661","W4053"
"556155","681","H20111"
"556155","686","M151337"
"556155","741","U60016"
"556155","748","H20164"
"556155","750","14W6"
"556155","750","51YA18"
"556155","770","67121"
"556155","770","72200"
"556155","770","82020"
"556155","770","L16WN"
"556155","771","18107"
"556155","771","847364"
"556155","771","89751"
"556155","799","N1457006"
"556155","802","I19S011"
"556155","802","L16WN"
"556155","802","M15IR"
"556155","814","K1712014"
"556155","815","50086"
"556155","815","53096"
"556155","927","H20AGH"
"556155","927","L16WN"
"556155","929","351T028"
"556155","933","E23L2133"
"556155","940","440099"
"556155","940","656945"
"556155","944","K17RS47"
"556155","944","L16WN"
"556155","960","0732"
"556155","962","P11103"
"556155","973","Y2VL00006"
"556155","975","P11332"
"556155","979","913939"
"556155","990","Q10P001"
