scrip_code,big_ord_client_id,big_ord_member_code,big_order_type,order_id,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
554412.0,H2011122,635.0,BUY,6.121710002013925e+16,,,,,,,,,,,,,,,,,,,,,,,
555835.0,2C030,42.0,SELL,1900700020393055.0,,,,,,,,,,,,,,,,,,,,,,,
555835.0,Y2V44,46.0,SELL,2300300020322849.0,,,,,,,,,,,,,,,,,,,,,,,
555835.0,T7OS24,514.0,SELL,4.912020002096691e+16,,,,,,,,,,,,,,,,,,,,,,,
555835.0,41001,3048.0,BUY,3.025012000201219e+17,,,,,,,,,,,,,,,,,,,,,,,
555835.0,P11101,3053.0,BUY,3.030201000206881e+17,,,,,,,,,,,,,,,,,,,,,,,
556114.0,R998531,439.0,SELL,4.160040002024318e+16,,,,,,,,,,,,,,,,,,,,,,,
556114.0,L16WN,3036.0,BUY,3.013016000201145e+17,,,,,,,,,,,,,,,,,,,,,,,
556114.0,584202,416.0,BUY,3.932030002037571e+16,,,,,,,,,,,,,,,,,,,,,,,
556114.0,X3RA,3036.0,BUY,3.013016000201145e+17,,,,,,,,,,,,,,,,,,,,,,,
556114.0,E239P002,258.0,SELL,2.35300000201229e+16,,,,,,,,,,,,,,,,,,,,,,,
556155.0,S8DFCMF,148.0,BUY,1.2500300020154516e+16,,,,,,,,,,,,,,,,,,,,,,,
556155.0,S8DFCMF,148.0,BUY,1.250030002015452e+16,,,,,,,,,,,,,,,,,,,,,,,
556155.0,S80171,696.0,SELL,6.73001000301938e+16,,,,,,,,,,,,,,,,,,,,,,,
556155.0,B26009,59.0,BUY,3620900020148206.0,,,,,,,,,,,,,,,,,,,,,,,
556155.0,N14002,498.0,BUY,4.7500900030406744e+16,,,,,,,,,,,,,,,,,,,,,,,
554412.0,76AL09,314.0,SELL,2.9120300020147904e+16,,,,,,,,,,,,,,,,,,,,,,,
554412.0,1500546104,126.0,SELL,1.0320600001985794e+16,,,,,,,,,,,,,,,,,,,,,,,
554412.0,D24682RK02,941.0,SELL,9.182010002040787e+16,,,,,,,,,,,,,,,,,,,,,,,
554412.0,55021,390.0,BUY,3.672010002044605e+16,,,,,,,,,,,,,,,,,,,,,,,
555835.0,E23YGM5,696.0,BUY,6.732080002100071e+16,,,,,,,,,,,,,,,,,,,,,,,
555835.0,W4124,472.0,BUY,4.490060002021588e+16,,,,,,,,,,,,,,,,,,,,,,,
555835.0,E23EFN9,696.0,SELL,6.732170002096298e+16,,,,,,,,,,,,,,,,,,,,,,,
555835.0,C2521K021,933.0,BUY,9.1020300020613e+16,,,,,,,,,,,,,,,,,,,,,,,
556114.0,S8040,250.0,BUY,2.2700100030155372e+16,,,,,,,,,,,,,,,,,,,,,,,
556114.0,S8040,250.0,BUY,2.270010003015536e+16,,,,,,,,,,,,,,,,,,,,,,,
556114.0,S8040,250.0,BUY,2.2700100030155556e+16,,,,,,,,,,,,,,,,,,,,,,,
556114.0,H200022,158.0,SELL,1.3500100030151888e+16,,,,,,,,,,,,,,,,,,,,,,,
556114.0,Z1MCSKA9,291.0,SELL,2.6820500024928216e+16,,,,,,,,,,,,,,,,,,,,,,,
556155.0,87256,362.0,BUY,3.3900100020189068e+16,,,,,,,,,,,,,,,,,,,,,,,
556155.0,Q10001,428.0,SELL,4.050560002018982e+16,,,,,,,,,,,,,,,,,,,,,,,
556155.0,4520,3147.0,SELL,3.124002000000064e+17,,,,,,,,,,,,,,,,,,,,,,,
556155.0,K17TANA021,53.0,SELL,3020500020929202.0,,,,,,,,,,,,,,,,,,,,,,,
556155.0,2070,185.0,BUY,1.6200300020230524e+16,,,,,,,,,,,,,,,,,,,,,,,
554412.0,I19T083,3075.0,SELL,3.0522020002019494e+17,,,,,,,,,,,,,,,,,,,,,,,
554412.0,K17023,3113.0,SELL,3.0900030000001286e+17,,,,,,,,,,,,,,,,,,,,,,,
554412.0,I19T083,3075.0,SELL,3.052201000202648e+17,,,,,,,,,,,,,,,,,,,,,,,
555835.0,Y2039,681.0,SELL,6.5801400020123336e+16,,,,,,,,,,,,,,,,,,,,,,,
555835.0,C2572001,933.0,BUY,9.10209000208308e+16,,,,,,,,,,,,,,,,,,,,,,,
555835.0,70087,129.0,BUY,1.0602600020199716e+16,,,,,,,,,,,,,,,,,,,,,,,
555835.0,X3SK169,351.0,BUY,3.28226000201598e+16,,,,,,,,,,,,,,,,,,,,,,,
556114.0,S8040,250.0,BUY,2.2700100030155692e+16,,,,,,,,,,,,,,,,,,,,,,,
556114.0,S8040,250.0,BUY,2.270010003015566e+16,,,,,,,,,,,,,,,,,,,,,,,
556114.0,S8040,250.0,BUY,2.2700100030155596e+16,,,,,,,,,,,,,,,,,,,,,,,
556114.0,S8040,250.0,BUY,2.270010003015565e+16,,,,,,,,,,,,,,,,,,,,,,,
556114.0,I19D219,3027.0,SELL,3.004213000203507e+17,,,,,,,,,,,,,,,,,,,,,,,
556155.0,Z1IK001,318.0,BUY,2.9502100020157544e+16,,,,,,,,,,,,,,,,,,,,,,,
556155.0,I19809,431.0,BUY,4.080110002017746e+16,,,,,,,,,,,,,,,,,,,,,,,
556155.0,6231,210.0,BUY,1.8700200020192196e+16,,,,,,,,,,,,,,,,,,,,,,,
556155.0,Y208,301.0,BUY,2.780010002013746e+16,,,,,,,,,,,,,,,,,,,,,,,
556155.0,W4771,935.0,BUY,9.122160000002648e+16,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
