scrip_code,member_code,client_id
554412,212,65004
555835,112,N146
555835,112,S8K200
555835,202,W4EEPKAND
555835,212,491075
555835,271,10101
555835,271,10P053
555835,271,10S074
555835,298,W4D131
555835,3037,L16WN
555835,3052,X3SS14
555835,3056,L16WN
555835,316,893K05
555835,336,302000004
555835,365,8VM21
555835,379,98767
555835,42,0L019
555835,42,2H001
555835,53,T7NP7B04
555835,635,H20124
555835,635,K175075
555835,748,K17034
555835,760,L16WN
555835,802,I19ST
555835,802,S8ON06
556114,112,O13712
556114,149,56H2
556114,164,87R022
556114,187,L16WN
556114,238,X3S251
556114,258,H20A1585
556114,258,H20A2931
556114,276,Y2455P23
556114,3037,L16WN
556114,3060,L16WN
556114,3094,J18P25
556114,3175,L16WN
556114,336,N145632
556114,345,Q10YM07
556114,469,J18AC017
556114,469,Y2RP0118
556114,521,I19DK01
556114,53,T7KOA025
556114,542,8V36
556114,562,G21119
556114,631,K177501
556114,635,I19A72
556114,635,Q105233
556114,659,I19P0SM17
556114,659,W4J0MB9
556114,715,H20J1006
556114,771,52764
556114,771,803865
556114,799,N1457003
556114,927,L16WN
556114,929,871S010
556114,940,800B10
556114,941,Z1010B003
556114,971,L16WN
556114,982,H200014720
556155,1012,I19M047
556155,112,172563
556155,112,39H111
556155,112,647015
556155,112,804C01
556155,112,824P01
556155,112,8N018
556155,112,8S514
556155,112,8V189
556155,112,8V220
556155,112,M15726
556155,112,V51
556155,112,Z1
556155,120,E23001
556155,129,70023
556155,129,71502
556155,133,7937
556155,134,36206
556155,134,45785
556155,134,49015
556155,134,62106
556155,134,67019
556155,134,67066
556155,134,67311
556155,134,68217
556155,134,69012
556155,138,L16WN
556155,144,N14U01S023
556155,144,Z1H00J049
556155,145,H203879
556155,145,H206151
556155,145,I1901013
556155,145,I1901255
556155,145,I1914108
556155,145,I1918009
556155,145,I1931131
556155,145,Y218364
556155,145,Y233067
556155,145,Y233152
556155,145,Y237189
556155,145,Y237329
556155,145,Y244221
556155,145,Y245273
556155,145,Y246203
556155,148,67400035
556155,148,80700290
556155,148,87000099
556155,149,5915S003
556155,149,67B5
556155,149,67K27
556155,149,83R777
556155,149,91J82
556155,149,96223
556155,149,99B42
556155,161,2900
556155,161,5001
556155,162,6514
556155,164,27M001
556155,164,56D004
556155,164,60B031
556155,164,60K005
556155,164,81K088
556155,164,V5SK20
556155,167,L16WN
556155,176,L16WN
556155,176,P111115
556155,176,S82700
556155,178,5043
556155,187,L16WN
556155,187,N14D004
556155,187,Q10J349
556155,187,Q10J493
556155,187,Z1D1533
556155,193,3004
556155,193,67300
556155,193,75520
556155,197,E232089
556155,197,I19ID34
556155,197,I19S161
556155,202,K17RATSANG
556155,202,W4IGVRAMA
556155,202,X3HANPRAH
556155,2024,G21B753
556155,2024,P11P02
556155,2024,V5I61
556155,204,X3CK08
556155,204,X3GT11
556155,204,X3T183
556155,205,N144551
556155,205,Q10530
556155,205,Y24504
556155,206,2770
556155,206,2823
556155,207,80126
556155,208,E23A008
556155,208,K17B102
556155,208,N14S421
556155,208,U606K048
556155,208,U672V064
556155,208,Y208D014
556155,209,5476
556155,209,N140028
556155,210,07009
556155,210,52001
556155,212,571148
556155,212,701068
556155,214,L16WN
556155,214,W4L010208
556155,219,75019
556155,220,806050
556155,226,Z1081
556155,227,N14037
556155,234,79S
556155,24,L16WN
556155,24,N14B20
556155,24,V5S21
556155,240,0083
556155,240,0204
556155,240,40925
556155,240,46247
556155,240,53009
556155,254,L16WN
556155,258,33N3
556155,258,34BN51
556155,258,50A03
556155,258,50P07
556155,258,50S54
556155,258,6E038
556155,258,6S012
556155,258,H201217
556155,258,H202041
556155,258,J18RJK09
556155,258,J18RJP09
556155,258,J18RJS16
556155,258,L16V003
556155,258,M15LO16
556155,258,Y2BN13
556155,26,00355
556155,26,22770
556155,26,22785
556155,26,36416
556155,26,65906
556155,26,65963
556155,26,833795
556155,26,839009
556155,26,850056
556155,26,851293
556155,262,I1904009
556155,269,67CHG00012
556155,271,06RK08
556155,271,16Z1010
556155,271,31C159
556155,271,40VA01
556155,271,49B155
556155,271,57A208
556155,271,58S6
556155,271,762LK1
556155,271,839S18
556155,271,841A11
556155,271,852MM11
556155,271,879B34
556155,271,894R033
556155,276,Y2105D388
556155,276,Y2106H055
556155,276,Y2106S145
556155,276,Y2106VB11
556155,276,Y2110556
556155,276,Y2110656
556155,276,Y2111R182
556155,276,Y21275050
556155,276,Y2205E006
556155,276,Y2205IS34
556155,276,Y23043950
556155,276,Y23044234
556155,276,Y23109
556155,276,Y2310C099
556155,276,Y2315C315
556155,276,Y2315J322
556155,276,Y23202714
556155,276,Y2320T05
556155,276,Y23601007
556155,276,Y2424H111
556155,276,Y2455D74
556155,276,Y24692514
556155,276,Y2469AC
556155,276,Y25053701
556155,276,Y2505MY01
556155,276,Y2505XK03
556155,276,Y2505XM01
556155,276,Y2519126
556155,276,Y25618051
556155,276,Y26003001
556155,276,Y2601K06
556155,276,Y2668C01
556155,281,B26H00A186
556155,281,E23F006896
556155,281,E23P005012
556155,281,G21S005184
556155,281,H20M008226
556155,281,H20M008425
556155,281,H20S00NLK
556155,281,K17B007001
556155,281,K17S004848
556155,281,S8C00V105
556155,281,W4P003636
556155,29,N14D6416
556155,291,K17CSH012
556155,291,Z1JSJB01
556155,291,Z1MCPR10
556155,291,Z1MCSK80
556155,292,3408
556155,292,Y2AA001
556155,298,2867
556155,298,E23R013
556155,298,K171
556155,298,K1715346
556155,298,K1715824
556155,298,K1716576
556155,298,K1718402
556155,298,N141
556155,298,S816699
556155,298,T71244
556155,298,Y2V353
556155,3027,B26I03
556155,3027,B26M04
556155,3027,E23J1436
556155,3027,M15105871
556155,3027,M15108369
556155,3027,M15108642
556155,3028,59S003
556155,3028,M15004
556155,3028,W4011
556155,3033,D24809
556155,3037,M15011
556155,3038,6514
556155,3038,717C007
556155,3038,8048
556155,3038,81RP11
556155,3038,829RP09
556155,3038,83042
556155,3038,855NS01
556155,3038,862BP02
556155,3041,9R766
556155,3041,L16WN
556155,3041,Z1X119
556155,3042,0438
556155,3042,1739
556155,3042,5419
556155,3043,P112629
556155,3043,Q104026
556155,3043,W4251
556155,3045,Z11119
556155,3045,Z1999
556155,3045,Z1N04
556155,3048,54005
556155,3048,88048
556155,3052,X3KM01
556155,3053,N14Z11
556155,3053,Z1E10
556155,3053,Z1P110
556155,3054,P114H001
556155,3057,6129
556155,3057,8156
556155,3057,L16WN
